CentroNv2,Mes Ano,Regiao_IM,Municipio,UF,Transações
L5165-MOGI DAS CRUZES MOGILAR,2025-04-01,RMSP,MOGI DAS CRUZES,SP,6829
L5166-MAIRIPORA,2025-04-01,RMSP,MAIRIPORÃ,SP,9381
L5168-SALTO,2025-04-01,Interior,SALTO,SP,5208
L5169-JACAREI,2025-04-01,Interior,JACAREÍ,SP,7121
L5172-PRESIDENTE PRUDENTE,2025-04-01,Interior,PRESIDENTE PRUDENTE,SP,4919
L5173-PERUIBE,2025-04-01,Litoral,PERUÍBE,SP,6863
L5174-PERI PERI,2025-04-01,Capital,SÃO PAULO,SP,6254
L5175-PARQUE SAO LUCAS,2025-04-01,Capital,SÃO PAULO,SP,10328
L5176-BRAGANCA PAULISTA,2025-04-01,Interior,BRAGANÇA PAULISTA,SP,10826
L5177-FREGUESIA DO O,2025-04-01,Capital,SÃO PAULO,SP,7990
L5178-PERIMETRAL,2025-04-01,RMSP,SANTO ANDRÉ,SP,7655
L5179-VILA YARA,2025-04-01,RMSP,OSASCO,SP,9897
L5180-FREI CANECA,2025-04-01,Capital,SÃO PAULO,SP,8705
L5181-RIBEIRAO PIRES,2025-04-01,RMSP,RIBEIRÃO PIRES,SP,6701
L5182-SAO JOSE DO RIO PRETO (DAMHA),2025-04-01,Interior,SÃO JOSÉ DO RIO PRETO,SP,4221
L5184-PRACA VARNHAGEM,2025-04-01,RJ,RIO DE JANEIRO,RJ,8298
L5185-CLODOMIRO,2025-04-01,Capital,SÃO PAULO,SP,4437
L5186-VILA DAS MERCES,2025-04-01,Capital,SÃO PAULO,SP,7997
L5187-MUTIRAO,2025-04-01,GO,GOIÂNIA,GO,3594
L5188-CAJAMAR,2025-04-01,RMSP,CAJAMAR,SP,9200
L5192-ALPHAVILLE CONDE,2025-04-01,RMSP,BARUERI,SP,7914
L5193-COTIA,2025-04-01,RMSP,COTIA,SP,7348
L5195-LEME,2025-04-01,Interior,LEME,SP,3470
L5197-LIMEIRA,2025-04-01,Interior,LIMEIRA,SP,4095
L5198-VILA RESENDE,2025-04-01,Interior,PIRACICABA,SP,4878
L5199-CASA VERDE,2025-04-01,Capital,SÃO PAULO,SP,7581
L5200-JUVENTUS,2025-04-01,Capital,SÃO PAULO,SP,6181
L5201-ANA COSTA,2025-04-01,Litoral,SANTOS,SP,10533
L5202-VILA CAICARA,2025-04-01,Litoral,PRAIA GRANDE,SP,9740
L5204-ITAQUA,2025-04-01,RMSP,ITAQUAQUECETUBA,SP,6650
L5205-GRANJA KM 26,2025-04-01,RMSP,COTIA,SP,3746
L5206-CACHOEIRINHA,2025-04-01,Capital,SÃO PAULO,SP,5528
L5207-SANTO ANDRE ORATORIO,2025-04-01,RMSP,SANTO ANDRÉ,SP,9823
L5209-ITABERABA,2025-04-01,Capital,SÃO PAULO,SP,8825
L5210-CAMPANELLA,2025-04-01,Capital,SÃO PAULO,SP,9612
L5213-REMEDIOS ONIX,2025-04-01,Capital,SÃO PAULO,SP,7011
L5214-SAO MIGUEL,2025-04-01,Capital,SÃO PAULO,SP,7871
L5215-VILA EMA,2025-04-01,Capital,SÃO PAULO,SP,8084
L5216-UBATUBA,2025-04-01,Litoral,UBATUBA,SP,5370
L5218-PARELHEIROS,2025-04-01,Capital,SÃO PAULO,SP,10046
L5219-AV. ITAQUERA,2025-04-01,Capital,SÃO PAULO,SP,8257
L5220-PLANALTO,2025-04-01,RMSP,SÃO BERNARDO DO CAMPO,SP,5446
L5221-BARUERI (BETHAVILLE),2025-04-01,RMSP,BARUERI,SP,7597
L5223-CAMPO LIMPO,2025-04-01,Capital,SÃO PAULO,SP,13842
L5225-ARUJA,2025-04-01,RMSP,ARUJÁ,SP,6878
L5227-CRUZEIRO,2025-04-01,Interior,CRUZEIRO,SP,5624
L5229-GLAUCIO GIL,2025-04-01,RJ,RIO DE JANEIRO,RJ,6489
L5230-LARGO DO MACHADO,2025-04-01,RJ,RIO DE JANEIRO,RJ,12036
L5231-SOROCABA PANNUNZIO,2025-04-01,Interior,SOROCABA,SP,6728
L5232-PARQUE ECOLOGICO,2025-04-01,Interior,INDAIATUBA,SP,8495
L5233-MONGAGUA,2025-04-01,Litoral,MONGAGUÁ,SP,8060
L5235-LOUVEIRA,2025-04-01,Interior,LOUVEIRA,SP,4221
L5236-JACAREI VILLA BRANCA,2025-04-01,Interior,JACAREÍ,SP,5093
L5237-PAULINIA,2025-04-01,Interior,PAULÍNIA,SP,7431
L5239-CACAPAVA,2025-04-01,Interior,CAÇAPAVA,SP,5066
L5240-BARAO GERALDO,2025-04-01,Interior,CAMPINAS,SP,5486
L5241-ITAPEVI,2025-04-01,RMSP,ITAPEVI,SP,7853
L5242-RECREIO,2025-04-01,RJ,RIO DE JANEIRO,RJ,2756
L5243-MONTE CASTELO,2025-04-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,5526
L5244-TAGUATINGA SUL,2025-04-01,DF,BRASÍLIA,DF,4655
L5245-MAUA 2,2025-04-01,RMSP,MAUÁ,SP,8906
L5246-MALL MULTI GERMINARE,2025-04-01,Capital,SÃO PAULO,SP,13035
L5248-SBC PEREIRA BARRETO,2025-04-01,RMSP,SÃO BERNARDO DO CAMPO,SP,7541
L5249-SANTA TERESINHA,2025-04-01,RMSP,SANTO ANDRÉ,SP,8209
L5250-VILA RICA,2025-04-01,Capital,SÃO PAULO,SP,7340
L5251-JANGADEIROS,2025-04-01,Capital,SÃO PAULO,SP,6714
L5252-14 DE DEZEMBRO,2025-04-01,Interior,JUNDIAÍ,SP,7179
L5253-HORTO,2025-04-01,Capital,SÃO PAULO,SP,6672
L5259-ALL WAYS MALL,2025-04-01,RJ,RIO DE JANEIRO,RJ,4448
L5261-UNIMART,2025-04-01,Interior,CAMPINAS,SP,7889
L5262-URBANOVA,2025-04-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,3784
L5266-MATEO BEI,2025-04-01,Capital,SÃO PAULO,SP,7805
L5267-JAU,2025-04-01,Interior,JAÚ,SP,2782
L5268-TIBURCIO,2025-04-01,Capital,SÃO PAULO,SP,8585
L5272-ILHABELA,2025-04-01,Litoral,ILHABELA,SP,6485
L5273-MORRO GRANDE,2025-04-01,Capital,SÃO PAULO,SP,6222
L5277-VILA CURUCA (NORDESTINA),2025-04-01,Capital,SÃO PAULO,SP,7537
L5278-ITAPECERICA DA SERRA,2025-04-01,RMSP,ITAPECERICA DA SERRA,SP,7051
L5279-BOX CAIEIRAS,2025-04-01,RMSP,CAIEIRAS,SP,4950
L5281-OLIVEIRA FREIRE,2025-04-01,Capital,SÃO PAULO,SP,6407
L5282-PARQUE OLIMPICO,2025-04-01,RJ,RIO DE JANEIRO,RJ,7603
L5283-ALDEIA DA SERRA,2025-04-01,RMSP,BARUERI,SP,4759
L5284-25 DE AGOSTO,2025-04-01,RJ,DUQUE DE CAXIAS,RJ,4610
L5290-SAO LOURENCO,2025-04-01,Litoral,BERTIOGA,SP,0
L5001-RIBEIRAO PRETO (0217),2025-05-01,Interior,RIBEIRÃO PRETO,SP,10116
L5002-ALPHAVILLE (0290),2025-05-01,RMSP,BARUERI,SP,8315
L5003-LINS (0340),2025-05-01,Interior,LINS,SP,8302
L5004-CAMPO BELO (0448),2025-05-01,Capital,SÃO PAULO,SP,7287
L5005-BROOKLIN (0475),2025-05-01,Capital,SÃO PAULO,SP,6488
L5006-MARAJOARA (0487),2025-05-01,Capital,SÃO PAULO,SP,9131
L5007-KLABIN (0496),2025-05-01,Capital,SÃO PAULO,SP,4334
L5008-SCS MAUA (0500),2025-05-01,RMSP,SÃO CAETANO DO SUL,SP,6561
L5009-PIRITUBA (0508),2025-05-01,Capital,SÃO PAULO,SP,9600
L5012-SOROCABA (0527),2025-05-01,Interior,SOROCABA,SP,2970
L5013-GRANJA VIANA (0545),2025-05-01,RMSP,COTIA,SP,6252
L5014-ROUXINOL (0567),2025-05-01,Capital,SÃO PAULO,SP,7049
L5015-BARAO ITAPURA (0570),2025-05-01,Interior,CAMPINAS,SP,4761
L5016-ANDRADINA (0573),2025-05-01,Interior,ANDRADINA,SP,4418
L5017-LEOPOLDINA (0576),2025-05-01,Capital,SÃO PAULO,SP,5720
L5018-MOEMA JURUCE (0584),2025-05-01,Capital,SÃO PAULO,SP,9328
L5019-ANGELICA (0684),2025-05-01,Capital,SÃO PAULO,SP,10060
L5020-VILA MARIANA 2 (0779),2025-05-01,Capital,SÃO PAULO,SP,8587
L5021-VILA SAUDE (0782),2025-05-01,Capital,SÃO PAULO,SP,9431
L5022-SAO CAETANO CENTRO (0811),2025-05-01,RMSP,SÃO CAETANO DO SUL,SP,10729
L5023-JOSE BONIFACIO (0813),2025-05-01,Interior,CAMPINAS,SP,4870
L5024-VALINHOS (0814),2025-05-01,Interior,VALINHOS,SP,8903
L5025-PANAMBY (0817),2025-05-01,Capital,SÃO PAULO,SP,7981
L5026-VILA MARIA (0818),2025-05-01,Capital,SÃO PAULO,SP,6554
L5027-ACLIMACAO (0851),2025-05-01,Capital,SÃO PAULO,SP,9670
L5028-VILA PAULICEIA (0853),2025-05-01,Capital,SÃO PAULO,SP,6099
L5030-SAUDADE (0856),2025-05-01,Interior,CAMPINAS,SP,8361
L5031-PERDIZES (0860),2025-05-01,Capital,SÃO PAULO,SP,8550
L5033-SANTANA (0868),2025-05-01,Capital,SÃO PAULO,SP,4355
L5034-D. PEDRO ll (0873),2025-05-01,RMSP,SANTO ANDRÉ,SP,7596
L5035-TREMEMBE (0875),2025-05-01,Capital,SÃO PAULO,SP,7092
L5037-VILA ROMANA (0880),2025-05-01,Capital,SÃO PAULO,SP,6187
L5038-SAO JOSE DOS CAMPOS (0886),2025-05-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,8170
L5039-ZELINA (1208),2025-05-01,Capital,SÃO PAULO,SP,8726
L5040-GUARULHOS (1211),2025-05-01,RMSP,GUARULHOS,SP,8621
L5041-TAUBATE (1224),2025-05-01,Interior,TAUBATÉ,SP,5262
L5042-IPIRANGA (1237),2025-05-01,Capital,SÃO PAULO,SP,11264
L5043-PORTUGAL (1239),2025-05-01,RMSP,SANTO ANDRÉ,SP,8695
L5044-INDAIATUBA (1243),2025-05-01,Interior,INDAIATUBA,SP,7890
L5045-TATUAPE (1247),2025-05-01,Capital,SÃO PAULO,SP,8170
L5046-VILA CARRAO (1248),2025-05-01,Capital,SÃO PAULO,SP,9008
L5047-SAO BERNARDO (1255),2025-05-01,RMSP,SÃO BERNARDO DO CAMPO,SP,10316
L5048-SJC ANDROMEDA (1261),2025-05-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,7075
L5049-RIB.PRETO INDEPENDENCIA (1266),2025-05-01,Interior,RIBEIRÃO PRETO,SP,3797
L5050-SOROCABA W.LUIZ (1273),2025-05-01,Interior,SOROCABA,SP,6493
L5051-VILA PRUDENTE (1276),2025-05-01,Capital,SÃO PAULO,SP,7418
L5052-PINHEIROS (1277),2025-05-01,Capital,SÃO PAULO,SP,4750
L5053-MORUMBI (1278),2025-05-01,Capital,SÃO PAULO,SP,7559
L5054-PLANALTO (1279),2025-05-01,Capital,SÃO PAULO,SP,7187
L5055-CAMBUCI (1284),2025-05-01,Capital,SÃO PAULO,SP,10750
L5056-PENHA (1285),2025-05-01,Capital,SÃO PAULO,SP,10352
L5057-BOQUEIRAO (1289),2025-05-01,Litoral,SANTOS,SP,9671
L5058-JD. BONFIGLIOLI (1291),2025-05-01,Capital,SÃO PAULO,SP,9933
L5059-TUTOIA (1294),2025-05-01,Capital,SÃO PAULO,SP,7450
L5060-RIVIERA (1300),2025-05-01,Litoral,BERTIOGA,SP,4508
L5061-BOSQUE MAIA (1304),2025-05-01,RMSP,GUARULHOS,SP,7095
L5062-ASSUNCAO (1310),2025-05-01,RMSP,SÃO BERNARDO DO CAMPO,SP,13018
L5063-SAO CAMILO (1311),2025-05-01,RMSP,COTIA,SP,4895
L5064-CHACARA INGLESA (1312),2025-05-01,Capital,SÃO PAULO,SP,8293
L5065-LINS DE VASCONCELOS (1313),2025-05-01,Capital,SÃO PAULO,SP,8216
L5066-CARAPICUIBA (1317),2025-05-01,RMSP,CARAPICUÍBA,SP,6601
L5067-CHACARA ST. ANTONIO (1318),2025-05-01,Capital,SÃO PAULO,SP,7435
L5068-BOSQUE DA SAUDE (1321),2025-05-01,Capital,SÃO PAULO,SP,9806
L5069-AGUA RASA (1322),2025-05-01,Capital,SÃO PAULO,SP,8287
L5070-BORGES LAGOA (1323),2025-05-01,Capital,SÃO PAULO,SP,5840
L5071-BELA VISTA (1326),2025-05-01,Capital,SÃO PAULO,SP,10564
L5072-SERRA DE JAPI (1330),2025-05-01,Capital,SÃO PAULO,SP,7914
L5073-VILA GUILHERME (1331),2025-05-01,Capital,SÃO PAULO,SP,8236
L5074-VOLUNTARIOS DA PATRIA (1335),2025-05-01,Capital,SÃO PAULO,SP,5372
L5076-PIRACICABA (1337),2025-05-01,Interior,PIRACICABA,SP,6273
L5077-OSCAR FREIRE (1341),2025-05-01,Capital,SÃO PAULO,SP,8099
L5078-CAMPO BELO 2 (1342),2025-05-01,Capital,SÃO PAULO,SP,4512
L5081-VILA OLIMPIA (1345),2025-05-01,Capital,SÃO PAULO,SP,4899
L5082-VILA ANDRADE (1346),2025-05-01,Capital,SÃO PAULO,SP,8064
L5083-BARCELONA (1347),2025-05-01,RMSP,SÃO CAETANO DO SUL,SP,6124
L5084-GUAIPA (1349),2025-05-01,Capital,SÃO PAULO,SP,6524
L5086-PORTAL DO MORUMBI (1352),2025-05-01,Capital,SÃO PAULO,SP,11964
L5087-ALBERTO ANDALO (1353),2025-05-01,Interior,SÃO JOSÉ DO RIO PRETO,SP,4644
L5088-PONTA DA PRAIA (1363),2025-05-01,Litoral,SANTOS,SP,11608
L5089-BOA VISTA (1364),2025-05-01,RMSP,SÃO CAETANO DO SUL,SP,7870
L5090-NORTE SUL (1365),2025-05-01,Interior,CAMPINAS,SP,4478
L5091-NOVA CANTAREIRA (1366),2025-05-01,Capital,SÃO PAULO,SP,7263
L5092-VILA AUGUSTA (1374),2025-05-01,RMSP,GUARULHOS,SP,7807
L5093-PERDIZES 2 (1376),2025-05-01,Capital,SÃO PAULO,SP,6967
L5095-VILLA LOBOS (1380),2025-05-01,Capital,SÃO PAULO,SP,4322
L5097-JUNDIAI (1404),2025-05-01,Interior,JUNDIAÍ,SP,6219
L5098-AUTONOMISTAS (1405),2025-05-01,RMSP,OSASCO,SP,9889
L5099-VILA MATILDE (1421),2025-05-01,Capital,SÃO PAULO,SP,10981
L5100-INTERLAGOS (1431),2025-05-01,Capital,SÃO PAULO,SP,7720
L5101-CIDADE SAO FRANCISCO (1432),2025-05-01,Capital,SÃO PAULO,SP,7322
L5102-POMPEIA DESEMBARGADOR (1449),2025-05-01,Capital,SÃO PAULO,SP,7781
L5103-ATIBAIA (1454),2025-05-01,Interior,ATIBAIA,SP,13384
L5105-DOM PEDRO I (1457),2025-05-01,RMSP,SANTO ANDRÉ,SP,8333
L5106-GUILHERMINA (1516),2025-05-01,Litoral,PRAIA GRANDE,SP,8089
L5107-MANDAQUI (1521),2025-05-01,Capital,SÃO PAULO,SP,6589
L5108-MOGI DAS CRUZES (1527),2025-05-01,RMSP,MOGI DAS CRUZES,SP,6625
L5109-SANTOS POMPEIA,2025-05-01,Litoral,SANTOS,SP,9994
L5111-VINHEDO,2025-05-01,Interior,VINHEDO,SP,3835
L5112-BAURU,2025-05-01,Interior,BAURU,SP,3374
L5113-ANASTACIO,2025-05-01,Capital,SÃO PAULO,SP,8691
L5114-106 ASA SUL,2025-05-01,DF,BRASÍLIA,DF,4422
L5116-ENSEADA,2025-05-01,Litoral,GUARUJÁ,SP,5491
L5117-NOVA GRANADA,2025-05-01,RMSP,OSASCO,SP,10537
L5118-ARACATUBA,2025-05-01,Interior,ARAÇATUBA,SP,3591
L5119-AGUAS CLARAS (ARAUCARIAS),2025-05-01,DF,BRASÍLIA,DF,7804
L5120-ITU,2025-05-01,Interior,ITU,SP,5840
L5121-VILA MASCOTE,2025-05-01,Capital,SÃO PAULO,SP,10453
L5122-PONTE RASA,2025-05-01,Capital,SÃO PAULO,SP,10856
L5123-SAO VICENTE,2025-05-01,Litoral,SÃO VICENTE,SP,9304
L5124-BOTUCATU,2025-05-01,Interior,BOTUCATU,SP,5366
L5126-CELSO GARCIA,2025-05-01,Capital,SÃO PAULO,SP,9907
L5127-SAO ROQUE,2025-05-01,Interior,SÃO ROQUE,SP,9643
L5129-REAL PARQUE,2025-05-01,Capital,SÃO PAULO,SP,3488
L5130-TUPI,2025-05-01,Litoral,PRAIA GRANDE,SP,8334
L5131-TAUBATE SAO GERALDO,2025-05-01,Interior,TAUBATÉ,SP,6117
L5132-CANTO DO FORTE,2025-05-01,Litoral,PRAIA GRANDE,SP,8078
L5134-GILBERTO SALOMAO,2025-05-01,DF,BRASÍLIA,DF,3998
L5135-402 ASA SUL,2025-05-01,DF,BRASÍLIA,DF,3775
L5136-RIB.PRETO ALTO DA BOA VISTA,2025-05-01,Interior,RIBEIRÃO PRETO,SP,4842
L5138-306 ASA NORTE,2025-05-01,DF,BRASÍLIA,DF,7184
L5139-SBC RUDGE RAMOS,2025-05-01,RMSP,SÃO BERNARDO DO CAMPO,SP,8587
L5140-OSASCO KM 18,2025-05-01,RMSP,OSASCO,SP,9626
L5141-ALTO TAQUARAL,2025-05-01,Interior,CAMPINAS,SP,5010
L5142-MARILIA,2025-05-01,Interior,MARÍLIA,SP,4233
L5143-AQUARIUS,2025-05-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,7050
L5144-EMBU DAS ARTES,2025-05-01,RMSP,EMBU DAS ARTES,SP,7924
L5145-TAMBORE,2025-05-01,RMSP,SANTANA DE PARNAÍBA,SP,3897
L5146-ITATIBA,2025-05-01,Interior,ITATIBA,SP,5148
L5147-ROLAND GARROS,2025-05-01,Capital,SÃO PAULO,SP,6680
L5148-PARQUE DO CARMO,2025-05-01,Capital,SÃO PAULO,SP,8639
L5149-ALTO DA MOOCA,2025-05-01,Capital,SÃO PAULO,SP,11077
L5150-ARARAQUARA,2025-05-01,Interior,ARARAQUARA,SP,5867
L5151-PINDAMONHANGABA,2025-05-01,Interior,PINDAMONHANGABA,SP,3961
L5152-ALTO DA BOA VISTA,2025-05-01,Capital,SÃO PAULO,SP,9319
L5153-EMBARE,2025-05-01,Litoral,SANTOS,SP,13009
L5154-RIO CLARO,2025-05-01,Interior,RIO CLARO,SP,4012
L5155-SUZANO,2025-05-01,RMSP,SUZANO,SP,7568
L5156-JARDIM PRUDENCIA,2025-05-01,Capital,SÃO PAULO,SP,9384
L5158-LEBLON,2025-05-01,RJ,RIO DE JANEIRO,RJ,6735
L5159-COTIA KM 39,2025-05-01,RMSP,COTIA,SP,8155
L5160-GUARATINGUETA,2025-05-01,Interior,GUARATINGUETÁ,SP,6056
L5161-ITANHAEM,2025-05-01,Litoral,ITANHAÉM,SP,7430
L5163-TAQUARI,2025-05-01,DF,BRASÍLIA,DF,4632
L5164-ITAPETININGA,2025-05-01,Interior,ITAPETININGA,SP,4783
L5165-MOGI DAS CRUZES MOGILAR,2025-05-01,RMSP,MOGI DAS CRUZES,SP,6835
L5166-MAIRIPORA,2025-05-01,RMSP,MAIRIPORÃ,SP,9632
L5168-SALTO,2025-05-01,Interior,SALTO,SP,5311
L5169-JACAREI,2025-05-01,Interior,JACAREÍ,SP,7439
L5172-PRESIDENTE PRUDENTE,2025-05-01,Interior,PRESIDENTE PRUDENTE,SP,4820
L5173-PERUIBE,2025-05-01,Litoral,PERUÍBE,SP,6279
L5174-PERI PERI,2025-05-01,Capital,SÃO PAULO,SP,6238
L5175-PARQUE SAO LUCAS,2025-05-01,Capital,SÃO PAULO,SP,10215
L5176-BRAGANCA PAULISTA,2025-05-01,Interior,BRAGANÇA PAULISTA,SP,10633
L5177-FREGUESIA DO O,2025-05-01,Capital,SÃO PAULO,SP,8306
L5178-PERIMETRAL,2025-05-01,RMSP,SANTO ANDRÉ,SP,8051
L5179-VILA YARA,2025-05-01,RMSP,OSASCO,SP,10070
L5180-FREI CANECA,2025-05-01,Capital,SÃO PAULO,SP,8984
L5181-RIBEIRAO PIRES,2025-05-01,RMSP,RIBEIRÃO PIRES,SP,7194
L5182-SAO JOSE DO RIO PRETO (DAMHA),2025-05-01,Interior,SÃO JOSÉ DO RIO PRETO,SP,4327
L5184-PRACA VARNHAGEM,2025-05-01,RJ,RIO DE JANEIRO,RJ,8751
L5185-CLODOMIRO,2025-05-01,Capital,SÃO PAULO,SP,4620
L5186-VILA DAS MERCES,2025-05-01,Capital,SÃO PAULO,SP,8234
L5187-MUTIRAO,2025-05-01,GO,GOIÂNIA,GO,4229
L5188-CAJAMAR,2025-05-01,RMSP,CAJAMAR,SP,9737
L5192-ALPHAVILLE CONDE,2025-05-01,RMSP,BARUERI,SP,8144
L5193-COTIA,2025-05-01,RMSP,COTIA,SP,8120
L5195-LEME,2025-05-01,Interior,LEME,SP,3597
L5197-LIMEIRA,2025-05-01,Interior,LIMEIRA,SP,4517
L5198-VILA RESENDE,2025-05-01,Interior,PIRACICABA,SP,5186
L5199-CASA VERDE,2025-05-01,Capital,SÃO PAULO,SP,7993
L5200-JUVENTUS,2025-05-01,Capital,SÃO PAULO,SP,6199
L5201-ANA COSTA,2025-05-01,Litoral,SANTOS,SP,10663
L5202-VILA CAICARA,2025-05-01,Litoral,PRAIA GRANDE,SP,9541
L5204-ITAQUA,2025-05-01,RMSP,ITAQUAQUECETUBA,SP,6817
L5205-GRANJA KM 26,2025-05-01,RMSP,COTIA,SP,3700
L5206-CACHOEIRINHA,2025-05-01,Capital,SÃO PAULO,SP,5627
L5207-SANTO ANDRE ORATORIO,2025-05-01,RMSP,SANTO ANDRÉ,SP,10543
L5209-ITABERABA,2025-05-01,Capital,SÃO PAULO,SP,8901
L5210-CAMPANELLA,2025-05-01,Capital,SÃO PAULO,SP,9458
L5213-REMEDIOS ONIX,2025-05-01,Capital,SÃO PAULO,SP,7225
L5214-SAO MIGUEL,2025-05-01,Capital,SÃO PAULO,SP,7905
L5215-VILA EMA,2025-05-01,Capital,SÃO PAULO,SP,8170
L5216-UBATUBA,2025-05-01,Litoral,UBATUBA,SP,4681
L5218-PARELHEIROS,2025-05-01,Capital,SÃO PAULO,SP,10765
L5219-AV. ITAQUERA,2025-05-01,Capital,SÃO PAULO,SP,8181
L5220-PLANALTO,2025-05-01,RMSP,SÃO BERNARDO DO CAMPO,SP,5868
L5221-BARUERI (BETHAVILLE),2025-05-01,RMSP,BARUERI,SP,7980
L5223-CAMPO LIMPO,2025-05-01,Capital,SÃO PAULO,SP,13967
L5225-ARUJA,2025-05-01,RMSP,ARUJÁ,SP,6907
L5227-CRUZEIRO,2025-05-01,Interior,CRUZEIRO,SP,5142
L5229-GLAUCIO GIL,2025-05-01,RJ,RIO DE JANEIRO,RJ,7102
L5230-LARGO DO MACHADO,2025-05-01,RJ,RIO DE JANEIRO,RJ,12708
L5231-SOROCABA PANNUNZIO,2025-05-01,Interior,SOROCABA,SP,7122
L5232-PARQUE ECOLOGICO,2025-05-01,Interior,INDAIATUBA,SP,8618
L5233-MONGAGUA,2025-05-01,Litoral,MONGAGUÁ,SP,7547
L5235-LOUVEIRA,2025-05-01,Interior,LOUVEIRA,SP,3971
L5236-JACAREI VILLA BRANCA,2025-05-01,Interior,JACAREÍ,SP,5163
L5237-PAULINIA,2025-05-01,Interior,PAULÍNIA,SP,7779
L5239-CACAPAVA,2025-05-01,Interior,CAÇAPAVA,SP,4918
L5240-BARAO GERALDO,2025-05-01,Interior,CAMPINAS,SP,5692
L5241-ITAPEVI,2025-05-01,RMSP,ITAPEVI,SP,8183
L5242-RECREIO,2025-05-01,RJ,RIO DE JANEIRO,RJ,3040
L5243-MONTE CASTELO,2025-05-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,5597
L5244-TAGUATINGA SUL,2025-05-01,DF,BRASÍLIA,DF,4787
L5245-MAUA 2,2025-05-01,RMSP,MAUÁ,SP,8999
L5246-MALL MULTI GERMINARE,2025-05-01,Capital,SÃO PAULO,SP,14232
L5248-SBC PEREIRA BARRETO,2025-05-01,RMSP,SÃO BERNARDO DO CAMPO,SP,8201
L5249-SANTA TERESINHA,2025-05-01,RMSP,SANTO ANDRÉ,SP,8730
L5250-VILA RICA,2025-05-01,Capital,SÃO PAULO,SP,7349
L5251-JANGADEIROS,2025-05-01,Capital,SÃO PAULO,SP,7181
L5252-14 DE DEZEMBRO,2025-05-01,Interior,JUNDIAÍ,SP,7504
L5253-HORTO,2025-05-01,Capital,SÃO PAULO,SP,6784
L5259-ALL WAYS MALL,2025-05-01,RJ,RIO DE JANEIRO,RJ,4763
L5261-UNIMART,2025-05-01,Interior,CAMPINAS,SP,8080
L5262-URBANOVA,2025-05-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,3924
L5266-MATEO BEI,2025-05-01,Capital,SÃO PAULO,SP,7901
L5267-JAU,2025-05-01,Interior,JAÚ,SP,2694
L5268-TIBURCIO,2025-05-01,Capital,SÃO PAULO,SP,8497
L5272-ILHABELA,2025-05-01,Litoral,ILHABELA,SP,6217
L5273-MORRO GRANDE,2025-05-01,Capital,SÃO PAULO,SP,6435
L5277-VILA CURUCA (NORDESTINA),2025-05-01,Capital,SÃO PAULO,SP,7756
L5278-ITAPECERICA DA SERRA,2025-05-01,RMSP,ITAPECERICA DA SERRA,SP,7280
L5279-BOX CAIEIRAS,2025-05-01,RMSP,CAIEIRAS,SP,5099
L5281-OLIVEIRA FREIRE,2025-05-01,Capital,SÃO PAULO,SP,6219
L5282-PARQUE OLIMPICO,2025-05-01,RJ,RIO DE JANEIRO,RJ,8350
L5283-ALDEIA DA SERRA,2025-05-01,RMSP,BARUERI,SP,4775
L5284-25 DE AGOSTO,2025-05-01,RJ,DUQUE DE CAXIAS,RJ,5104
L5290-SAO LOURENCO,2025-05-01,Litoral,BERTIOGA,SP,0
L5001-RIBEIRAO PRETO (0217),2025-06-01,Interior,RIBEIRÃO PRETO,SP,9097
L5002-ALPHAVILLE (0290),2025-06-01,RMSP,BARUERI,SP,7033
L5003-LINS (0340),2025-06-01,Interior,LINS,SP,7152
L5004-CAMPO BELO (0448),2025-06-01,Capital,SÃO PAULO,SP,6600
L5005-BROOKLIN (0475),2025-06-01,Capital,SÃO PAULO,SP,5973
L5006-MARAJOARA (0487),2025-06-01,Capital,SÃO PAULO,SP,7896
L5007-KLABIN (0496),2025-06-01,Capital,SÃO PAULO,SP,3737
L5008-SCS MAUA (0500),2025-06-01,RMSP,SÃO CAETANO DO SUL,SP,5516
L5009-PIRITUBA (0508),2025-06-01,Capital,SÃO PAULO,SP,8537
L5012-SOROCABA (0527),2025-06-01,Interior,SOROCABA,SP,2655
L5013-GRANJA VIANA (0545),2025-06-01,RMSP,COTIA,SP,5724
L5014-ROUXINOL (0567),2025-06-01,Capital,SÃO PAULO,SP,6646
L5015-BARAO ITAPURA (0570),2025-06-01,Interior,CAMPINAS,SP,4246
L5016-ANDRADINA (0573),2025-06-01,Interior,ANDRADINA,SP,3997
L5017-LEOPOLDINA (0576),2025-06-01,Capital,SÃO PAULO,SP,5234
L5018-MOEMA JURUCE (0584),2025-06-01,Capital,SÃO PAULO,SP,8528
L5019-ANGELICA (0684),2025-06-01,Capital,SÃO PAULO,SP,9162
L5020-VILA MARIANA 2 (0779),2025-06-01,Capital,SÃO PAULO,SP,7855
L5021-VILA SAUDE (0782),2025-06-01,Capital,SÃO PAULO,SP,8880
L5022-SAO CAETANO CENTRO (0811),2025-06-01,RMSP,SÃO CAETANO DO SUL,SP,9522
L5023-JOSE BONIFACIO (0813),2025-06-01,Interior,CAMPINAS,SP,4402
